,사업자등록번호,데이터수집일자,조사년도,재무보고서구분코드,재무보고서명칭,매출액_재무제표계정과목금액,매출액_비율,매출액_증감율,영업이익_재무제표계정과목금액,영업이익_비율,영업이익_증감율,당기순이익_재무제표계정과목금액,당기순이익_비율,당기순이익_증감율
1074,6208100181,20220307.0,2019.0,2.0,손익계산서,996366.0,100.0,41.54,118095.0,11.85,719.65,138542.0,13.9,381.42
1077,6208100181,20220307.0,2018.0,2.0,손익계산서,703922.0,100.0,22.42,14408.0,2.05,-151.86,28778.0,4.09,-135.71
1080,6208100181,20220307.0,2017.0,2.0,손익계산서,574986.0,100.0,-17.13,-27784.0,-4.83,-123.44,-80598.0,-14.02,-163.13
1088,5048100185,20220307.0,2020.0,2.0,손익계산서,25202427.0,100.0,27.75,1419152.0,5.63,50.51,1282026.0,5.09,41.31
1091,5048100185,20220307.0,2019.0,2.0,손익계산서,19727424.0,100.0,14.98,942873.0,4.78,-19.03,907250.0,4.6,36.51
1094,5048100185,20220307.0,2018.0,2.0,손익계산서,17157084.0,100.0,12.44,1164448.0,6.79,35.72,664595.0,3.87,-2.38
1097,5048100185,20220307.0,2017.0,2.0,손익계산서,15259127.0,100.0,-15.79,857979.0,5.62,-45.06,680820.0,4.46,57.05
1110,1118100187,20220223.0,2020.0,2.0,손익계산서,682796.0,100.0,-78.82,353265.0,51.74,168.21,3459231.0,506.63,108.94
1113,1118100187,20220223.0,2019.0,2.0,손익계산서,3223421.0,100.0,-36.33,-517897.0,-16.07,-25.09,-38708483.0,-1200.85,1996.48
1116,1118100187,20220223.0,2018.0,2.0,손익계산서,5062530.0,100.0,-53.82,-691377.0,-13.66,196.8,-1846358.0,-36.47,-140.77
1119,1118100187,20220223.0,2017.0,2.0,손익계산서,10962707.0,100.0,-15.79,-232947.0,-2.12,-94.87,4529164.0,41.31,-403.32
1124,1138100190,20211117.0,2016.0,2.0,손익계산서,7116456.0,100.0,-8.29,410409.0,5.77,14.3,162710.0,2.29,11.6
1127,1138100190,20211117.0,2017.0,2.0,손익계산서,7612382.0,100.0,6.97,433019.0,5.69,5.51,305109.0,4.01,87.52
1130,1138100190,20211117.0,2018.0,2.0,손익계산서,10153137.0,100.0,33.38,613702.0,6.04,41.73,445440.0,4.39,45.99
1134,1308600191,20220306.0,2020.0,2.0,손익계산서,652366.0,100.0,-78.46,-1493841.0,-228.99,-870.82,47731.0,7.32,-52.95
1137,1308600191,20220306.0,2019.0,2.0,손익계산서,3029124.0,100.0,10.84,193800.0,6.4,23.57,101453.0,3.35,44.81
1140,1308600191,20220306.0,2018.0,2.0,손익계산서,2732864.0,100.0,-46.68,156831.0,5.74,-26.29,70057.0,2.56,-49.14
1143,1308600191,20220306.0,2017.0,2.0,손익계산서,5124963.0,100.0,9999.99,212768.0,4.15,9999.99,137753.0,2.69,9999.99
1148,1058600192,20210914.0,2018.0,2.0,손익계산서,1414712.0,100.0,-36.66,-559831.0,-39.57,-167.98,68063.0,4.81,-85.47
1149,1058600192,20210914.0,2019.0,2.0,손익계산서,460486.0,100.0,-67.45,-748169.0,-162.47,-33.64,-398277.0,-86.49,-685.16
1150,1058600192,20210914.0,2020.0,2.0,손익계산서,424932.0,100.0,-7.72,-654453.0,-154.01,12.53,-155488.0,-36.59,60.96
1161,8428700193,20220308.0,2020.0,2.0,손익계산서,131040.0,100.0,-60.07,3513.0,2.68,-93.09,2206.0,1.68,-95.51
1164,8428700193,20220308.0,2019.0,2.0,손익계산서,328199.0,100.0,144.09,50835.0,15.49,230.77,49157.0,14.98,226.15
